feature,importance,importance_std,importance_type,model
conductivity_us_cm_rt_rolling_30min_range__imputed,1.3517051626887877e-05,4.136337410810055e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_120min_median__imputed,1.3434178240867567e-05,4.700362519017275e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_delta_5min__imputed,6.879944960469508e-06,1.3759889920939018e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_120min_range__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_delta_5min__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_60min_mean__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_30min_min__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_120min_std__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_15min_std__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_delta_5min__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_lag_15min__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_rolling_30min_range__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_delta_5min__imputed,6.879944960447304e-06,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_60min_max__imputed,6.6342326404456035e-06,4.058048875759395e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_60min_max__imputed,6.395621832533393e-06,5.4962989461069705e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_lag_120min__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_15min_mean__imputed,0.0,0.0,permutation_average_precision,hist_gradient_boosting
