model,target,split,rows,mae,rmse,mape_pct,r2,fit_seconds
random_forest,target_tss_mg_l_plus_30min,test,1291,36.45892292923147,47.194740743349776,11.325023538514865,0.7170177979952772,35.05567849997897
lightgbm,target_tss_mg_l_plus_30min,test,1291,36.820203385609986,47.86071333704861,11.475252281995868,0.7089750342713247,3.071397199993953
hist_gradient_boosting,target_tss_mg_l_plus_30min,test,1291,37.02720177120096,48.05926158431149,11.520876716204343,0.7065554150470446,6.135809900006279
ridge,target_tss_mg_l_plus_30min,test,1291,40.18698295790178,51.90675332291662,12.428490630805172,0.6576899554529949,0.051842199987731874
mlp_neural_baseline,target_tss_mg_l_plus_30min,test,1291,47.61276338384098,65.59072823467788,14.451459510858275,0.4534161217455448,6.290190499974415
persistence_current_value,target_tss_mg_l_plus_30min,test,1291,49.426863370795004,66.33708483351222,15.429323113932005,0.44090619828561406,
dummy_mean,target_tss_mg_l_plus_30min,test,1291,74.68543229019976,88.81541743311259,24.248879983032996,-0.002186700021504784,0.0003108000382781029
xgboost,target_tss_mg_l_plus_30min,validation,1281,37.59910176116964,48.79244391095795,11.441126305186915,0.6991739158306697,4.897847999993246
random_forest,target_tss_mg_l_plus_30min,validation,1281,37.61953276757522,48.93906853221218,11.385237604533621,0.6973631934460094,35.05567849997897
catboost,target_tss_mg_l_plus_30min,validation,1281,37.87288280277742,48.9775379255821,11.507609208384853,0.6968872207515706,5.821217600023374
hist_gradient_boosting,target_tss_mg_l_plus_30min,validation,1281,38.053668341670964,50.027463487277636,11.50655666055154,0.6837523443326888,6.135809900006279
extra_trees,target_tss_mg_l_plus_30min,validation,1281,38.07111998910441,49.7953293802163,11.559689895922793,0.68668039791057,10.018451400042977
lightgbm,target_tss_mg_l_plus_30min,validation,1281,38.08508939026639,49.88368613496292,11.53964620505656,0.6855675038009676,3.071397199993953
ridge,target_tss_mg_l_plus_30min,validation,1281,42.55816876936372,55.40026597133179,12.721599162150909,0.6121765665266626,0.051842199987731874
mlp_neural_baseline,target_tss_mg_l_plus_30min,validation,1281,47.66918394427232,62.83200324759631,14.451657023467146,0.5011474917610581,6.290190499974415
persistence_current_value,target_tss_mg_l_plus_30min,validation,1281,52.51512650421445,69.44049709929587,15.934035103107073,0.39069324945569106,
dummy_mean,target_tss_mg_l_plus_30min,validation,1281,76.24628598511283,88.96574727519166,23.946191002459784,-0.000128974832844575,0.0003108000382781029
